ECU Absolute Time,Atmospheric Pressure,Inclination Switch,Fault Code Count,Ignition Coil Current Diagnosis,Fault Light Mileage,Ignition Advance Angle,Idling Correction Ignition Angle,Fuel Injection Prohibition Mode,Injection Mode,Bypass Delay Correction,ABV Opening,ABV Idling Correction,Lambda Setting,Air-Fuel Ratio Rich,Closed Loop Control,Air Flow,Throttle Valve Air Flow,Intake Manifold Pressure,Intake Manifold Front Pressure,MFF_AD_ADD_MMV_REL,MFF_AD_FAC_MMV_REL,MFF_AD_ADD_MMV,MFF_AD_FAC_MMV,Fuel Injection Quantity,MFF_WUP_COR,Ignition Mode,Engine RPM,Engine RPM Limit,Idling Target RPM,Fuel Injection Start Angle,Fuel Pump State,Engine State,Engine Temperature,Water Temperature PWM,Ignition Magnetization Time,Fuel Injection Time,Closed Loop Fuel Correction,Intake Temperature,Combustion Chamber Intake Temperature,TPS Opening,TPS Idling Learning Value,Battery Voltage,O2 Voltage,Vehicle Speed,TPS Voltage
2024-06-11 15:32:34.477328128+08:00,1001,0.757501585,0,0.078124736,0,9.374588232,-1.8752941199999995,0,5,0.0,69.84375,-3.7512156959999885,0.9999528959999999,128,4,29.60936363,13.078119978,469,716,-3.2767999996963226e-05,-1.6383999998481613e-05,-3.2767999996963226e-05,-1.6383999998481613e-05,2.199218187,0.0,1,1873,10600,1800,180.0,1,2,118,0.0,2.164,1.704,-0.004407296000000116,52,63,0.0,0.209960228,14.062184279,3.032216316,15.314696880000001,0.209960228
2024-06-11 15:32:34.882247936+08:00,1001,0.757501585,0,0.068359144,0,8.437098036000002,-2.8127843159999983,0,5,0.0,68.90625,-4.688705891999987,0.9999528959999999,128,4,28.624989008,13.078119978,463,709,-3.2767999996963226e-05,-1.6383999998481613e-05,-3.2767999996963226e-05,-1.6383999998481613e-05,2.128905705,0.0,1,1901,10600,1800,180.0,1,2,118,0.0,2.208,1.6480000000000001,-0.004407296000000116,52,63,0.0,0.209960228,13.999686239999999,3.02733352,15.54364056,0.209960228
2024-06-11 15:32:35.354775040+08:00,1001,0.757501585,0,0.078124736,0,10.312078428,-0.9378039239999971,0,5,0.0,70.78125,-2.8137254999999897,0.9999528959999999,128,4,30.421863318,13.078119978,474,728,-3.2767999996963226e-05,-1.6383999998481613e-05,-3.2767999996963226e-05,-1.6383999998481613e-05,2.261718171,0.0,1,1851,10600,1800,180.0,1,2,118,0.0,2.2560000000000002,1.752,-0.004407296000000116,52,63,0.0,0.209960228,13.937188201,3.02733352,15.134812559999999,0.209960228
2024-06-11 15:32:35.782316800+08:00,1001,0.757501585,0,0.078124736,0,8.905843134000001,-2.344039217999999,0,5,0.0,68.90625,-4.688705891999987,0.9999528959999999,128,4,29.109363822,13.078119978,466,716,-3.2767999996963226e-05,-1.6383999998481613e-05,-3.2767999996963226e-05,-1.6383999998481613e-05,2.1679681950000003,0.0,1,1891,10600,1800,180.0,1,2,118,0.0,2.124,1.68,-0.004407296000000116,52,63,0.0,0.209960228,13.999686239999999,3.022450724,15.46187496,0.209960228
2024-06-11 15:32:36.234062080+08:00,1001,0.757501585,0,0.07324194,0,8.905843134000001,-2.344039217999999,0,5,0.0,68.90625,-4.688705891999987,0.9999528959999999,128,4,28.953113882,13.093744972,465,710,-3.2767999996963226e-05,-1.6383999998481613e-05,-3.2767999996963226e-05,-1.6383999998481613e-05,2.152343199,0.0,1,1885,10600,1800,180.0,1,2,118,0.0,2.12,1.668,-0.004407296000000116,52,63,0.0,0.209960228,14.062184279,3.017567928,15.4128156,0.209960228
2024-06-11 15:32:36.684024064+08:00,1001,0.757501585,0,0.07324194,0,9.374588232,-1.8752941199999995,0,5,0.0,68.90625,-4.688705891999987,0.9999528959999999,128,4,29.937488504,13.078119978,471,717,-3.2767999996963226e-05,-1.6383999998481613e-05,-3.2767999996963226e-05,-1.6383999998481613e-05,2.164061946,0.0,1,1875,10600,1800,180.0,1,2,118,0.0,2.208,1.676,-0.004407296000000116,52,63,0.0,0.209960228,13.999686239999999,3.012685132,15.33105,0.209960228
2024-06-11 15:32:37.134078976+08:00,1001,0.757501585,0,0.078124736,0,8.905843134000001,-2.344039217999999,0,5,0.0,67.96875,-5.626196088,0.9999528959999999,128,4,28.624989008,13.093744972,463,708,-3.2767999996963226e-05,-1.6383999998481613e-05,-3.2767999996963226e-05,-1.6383999998481613e-05,2.066405721,0.0,1,1891,10600,1800,180.0,1,2,118,0.0,2.132,1.6,-0.004407296000000116,52,63,0.0,0.209960228,13.937188201,3.007802336,15.46187496,0.209960228
2024-06-11 15:32:37.582580992+08:00,1001,0.757501585,0,0.07324194,0,9.84333333,-1.406549022,0,5,0.0,68.90625,-4.688705891999987,0.9999528959999999,128,4,30.421863318,13.078119978,474,732,-3.2767999996963226e-05,-1.6383999998481613e-05,-3.2767999996963226e-05,-1.6383999998481613e-05,2.195311938,0.0,1,1861,10600,1800,180.0,1,2,118,0.0,2.244,1.7,-0.004407296000000116,52,63,0.0,0.209960228,13.937188201,3.00291954,15.21657816,0.209960228
2024-06-11 15:32:38.032216064+08:00,1001,0.757501585,0,0.07324194,0,9.374588232,-1.8752941199999995,0,5,0.0,68.90625,-4.688705891999987,0.9999528959999999,128,4,29.937488504,13.078119978,471,720,-3.2767999996963226e-05,-1.6383999998481613e-05,-3.2767999996963226e-05,-1.6383999998481613e-05,2.164061946,0.0,1,1874,10600,1800,180.0,1,2,118,0.0,2.124,1.676,-0.004407296000000116,52,63,0.0,0.209960228,14.124682318,2.998036744,15.32287344,0.209960228
2024-06-11 15:32:38.484039936+08:00,1001,0.757501585,0,0.078124736,0,9.374588232,-1.8752941199999995,0,5,0.0,68.90625,-4.688705891999987,0.9999528959999999,128,4,29.76561357,13.078119978,470,718,-3.2767999996963226e-05,-1.6383999998481613e-05,-3.2767999996963226e-05,-1.6383999998481613e-05,2.1484369500000002,0.0,1,1870,10600,1800,180.0,1,2,118,0.0,2.232,1.6640000000000001,-0.004407296000000116,52,63,0.0,0.209960228,14.124682318,2.998036744,15.2901672,0.209960228
